8.34e-07,6.37e-07,-11320,-10607,-9934.7,-9301.4,-8704.7,-8142.8,-7613.7,-7115.7,-6647,-6206.1,-5791.4,-5401.6,-5035.1,-4690.8,-4367.4,-4063.8,-3778.7,-3511.2,-3260.4,-3025.1,-2804.7,-2598.1,-2404.6,-2223.5,-2054.1,-1895.6,-1747.4,-1608.9,-1479.6,-1358.9,-1246.3,-1141.2,-1043.4,-952.21,-867.37,-788.46,-715.14,-647.06,-583.9,-525.36,-471.18,-421.08,-374.82,-332.18,-292.94,-256.9,-223.88,-193.7,-166.21,-141.26,-118.72,-98.459,-80.364,-64.331,-50.266,-38.082,-27.704,-19.061,-12.094,-6.7469,-2.9746,-0.73682,-0,-0.73682,-2.9257,-6.5507,-11.601,-18.071,-25.96,-35.271,-46.012,-58.196,-71.838,-86.958,-103.58,-121.73,-141.43,-162.73,-185.65,-210.24,-236.53,-264.57,-294.4,-326.08,-359.65,-395.16,-432.66,-472.22,-513.89,-557.72,-603.79,-652.14,-702.84,-755.95,-811.55,-869.69,-930.44,-993.87,-1060,-1129,-1200.9,-1275.8,-1353.6,-1434.6,-1518.7,-1606.1,-1696.8,-1790.8,-1888.4,-1989.4,-2094.1,-2202.5,-2314.6,-2430.5,-2550.3,-2674.1,-2802,-2934,-3070.1,-3210.6,-3355.4,-3504.5,-3658.2,-3816.4,-3979.3,-4146.8,-4319.1,-4496.3,-4678.4,-4865.4,-5057.5,-5254.7,-5457.1,-5664.7,-5877.7,-6096,-6319.8,-6549.1,-6783.9,-7024.4,-7270.6,-7522.6,-7780.4,-8044,-8313.7,-8589.3,-8870.9,-9158.7,-9452.7,-9752.9,-10059,-10372,-10691,-11017,-11349,-11688,-12033,-12385,-12743,-13108,-13480,-13859,-14245,-14637,-15037,-15443,-15856,-16277,-16704,-17139,-17580
9.3e-07,6.51e-07,-12577,-11772,-11012,-10296,-9621.1,-8985,-8386,-7821.9,-7291,-6791.5,-6321.8,-5880.2,-5465.3,-5075.6,-4709.9,-4366.7,-4044.9,-3743.3,-3460.9,-3196.4,-2949.1,-2717.8,-2501.8,-2300.1,-2111.9,-1936.5,-1773.2,-1621.2,-1479.8,-1348.5,-1226.7,-1113.8,-1009.2,-912.54,-823.21,-740.81,-664.89,-595.06,-530.92,-472.12,-418.3,-369.15,-324.36,-283.63,-246.69,-213.28,-183.17,-156.12,-131.92,-110.37,-91.271,-74.458,-59.761,-47.026,-36.109,-26.875,-19.2,-12.969,-8.0738,-4.4165,-1.906,-0.45921,-0,-0.45921,-1.7742,-3.8887,-6.7522,-10.32,-14.553,-19.417,-24.884,-30.928,-37.53,-44.674,-52.349,-60.548,-69.267,-78.505,-88.266,-98.556,-109.39,-120.77,-132.71,-145.24,-158.38,-172.14,-186.56,-201.66,-217.46,-234.01,-251.33,-269.46,-288.44,-308.3,-329.08,-350.83,-373.59,-397.39,-422.3,-448.34,-475.58,-504.05,-533.81,-564.9,-597.38,-631.3,-666.71,-703.67,-742.22,-782.42,-824.33,-868,-913.49,-960.85,-1010.1,-1061.4,-1114.7,-1170.1,-1227.7,-1287.5,-1349.6,-1413.9,-1480.7,-1550,-1621.7,-1696,-1772.9,-1852.5,-1934.8,-2019.9,-2107.9,-2198.8,-2292.6,-2389.5,-2489.5,-2592.5,-2698.8,-2808.4,-2921.2,-3037.5,-3157.1,-3280.2,-3406.8,-3537.1,-3671,-3808.5,-3949.8,-4094.9,-4243.9,-4396.8,-4553.6,-4714.5,-4879.4,-5048.4,-5221.5,-5398.9,-5580.6,-5766.5,-5956.8,-6151.5,-6350.7,-6554.3,-6762.5,-6975.3,-7192.7,-7414.8,-7641.6,-7873.2,-8109.5,-8350.7,-8596.8
9.39e-07,6.73e-07,-11832,-11046,-10306,-9609.3,-8953.8,-8337.1,-7757.3,-7212.4,-6700.5,-6219.9,-5768.9,-5345.9,-4949.4,-4578,-4230.2,-3904.9,-3600.7,-3316.4,-3051.1,-2803.5,-2572.8,-2357.9,-2157.9,-1972,-1799.3,-1639.1,-1490.6,-1353.2,-1226.1,-1108.8,-1000.5,-900.86,-809.2,-725.04,-647.89,-577.31,-512.84,-454.08,-400.63,-352.13,-308.23,-268.59,-232.9,-200.88,-172.23,-146.7,-124.05,-104.03,-86.434,-71.053,-57.696,-46.181,-36.339,-28.011,-21.052,-15.322,-10.694,-7.0489,-4.2769,-2.276,-0.95248,-0.22012,-0,-0.22012,-0.81512,-1.726,-2.8996,-4.2889,-5.8521,-7.5526,-9.3591,-11.245,-13.188,-15.17,-17.178,-19.202,-21.237,-23.28,-25.332,-27.398,-29.485,-31.605,-33.769,-35.996,-38.302,-40.711,-43.243,-45.927,-48.789,-51.859,-55.168,-58.751,-62.643,-66.88,-71.5,-76.544,-82.053,-88.069,-94.636,-101.8,-109.6,-118.1,-127.33,-137.34,-148.19,-159.93,-172.6,-186.27,-200.97,-216.77,-233.72,-251.87,-271.29,-292.01,-314.1,-337.62,-362.62,-389.16,-417.3,-447.08,-478.58,-511.84,-546.93,-583.9,-622.81,-663.72,-706.68,-751.76,-799.02,-848.5,-900.27,-954.39,-1010.9,-1069.9,-1131.4,-1195.5,-1262.2,-1331.6,-1403.7,-1478.7,-1556.5,-1637.2,-1720.9,-1807.7,-1897.5,-1990.5,-2086.6,-2186,-2288.7,-2394.8,-2504.2,-2617.1,-2733.6,-2853.6,-2977.2,-3104.5,-3235.5,-3370.3,-3508.9,-3651.3,-3797.7,-3948.1,-4102.4,-4260.9,-4423.4,-4590.1,-4761,-4936.1,-5115.5,-5299.3,-5487.4
8.48e-07,6.37e-07,-11503,-10776,-10091,-9445.4,-8837.3,-8264.4,-7725,-7217.3,-6739.5,-6290,-5867.2,-5469.8,-5096.2,-4745.3,-4415.6,-4106.2,-3815.7,-3543.3,-3287.8,-3048.3,-2823.9,-2613.7,-2417,-2232.9,-2060.7,-1899.8,-1749.4,-1609,-1478,-1355.8,-1241.8,-1135.7,-1036.9,-944.99,-859.55,-780.19,-706.55,-638.27,-575.03,-516.53,-462.46,-412.56,-366.59,-324.29,-285.45,-249.86,-217.32,-187.67,-160.72,-136.32,-114.34,-94.634,-77.085,-61.581,-48.019,-36.305,-26.357,-18.097,-11.458,-6.3788,-2.806,-0.69305,-0,-0.69305,-2.7443,-6.1316,-10.838,-16.852,-24.167,-32.78,-42.693,-53.914,-66.452,-80.323,-95.542,-112.13,-130.12,-149.53,-170.39,-192.74,-216.61,-242.05,-269.09,-297.77,-328.14,-360.25,-394.15,-429.89,-467.52,-507.09,-548.66,-592.29,-638.04,-685.97,-736.13,-788.59,-843.41,-900.65,-960.39,-1022.7,-1087.6,-1155.2,-1225.6,-1298.7,-1374.8,-1453.8,-1535.9,-1621.1,-1709.4,-1801,-1895.9,-1994.2,-2095.9,-2201.1,-2310,-2422.5,-2538.7,-2658.8,-2782.7,-2910.6,-3042.5,-3178.4,-3318.6,-3463,-3611.6,-3764.7,-3922.1,-4084.1,-4250.6,-4421.8,-4597.7,-4778.4,-4963.9,-5154.3,-5349.7,-5550.2,-5755.7,-5966.4,-6182.3,-6403.5,-6630.1,-6862,-7099.5,-7342.4,-7591,-7845.2,-8105.1,-8370.8,-8642.3,-8919.7,-9203,-9492.2,-9787.5,-10089,-10396,-10710,-11030,-11356,-11689,-12028,-12373,-12725,-13083,-13448,-13819,-14197,-14582,-14973,-15371,-15776,-16188
8.48e-07,6.8e-07,-9216.5,-8564.5,-7953,-7379.6,-6842.3,-6339.1,-5868,-5427.3,-5015.2,-4630.1,-4270.6,-3935,-3622.1,-3330.5,-3059,-2806.4,-2571.6,-2353.4,-2151,-1963.4,-1789.6,-1628.7,-1480.1,-1342.9,-1216.3,-1099.8,-992.6,-894.14,-803.81,-721.09,-645.43,-576.36,-513.41,-456.13,-404.12,-356.99,-314.37,-275.91,-241.29,-210.21,-182.38,-157.53,-135.41,-115.78,-98.424,-83.139,-69.733,-58.027,-47.856,-39.069,-31.522,-25.086,-19.642,-15.08,-11.299,-8.2089,-5.7271,-3.7796,-2.3004,-1.2308,-0.5195,-0.12192,-0,-0.12192,-0.46174,-0.99919,-1.7193,-2.6124,-3.6733,-4.9019,-6.3021,-7.8824,-9.6548,-11.636,-13.844,-16.304,-19.041,-22.085,-25.468,-29.225,-33.394,-38.016,-43.132,-48.789,-55.032,-61.912,-69.478,-77.784,-86.884,-96.835,-107.69,-119.52,-132.37,-146.31,-161.4,-177.7,-195.29,-214.22,-234.56,-256.38,-279.75,-304.73,-331.4,-359.83,-390.08,-422.23,-456.35,-492.52,-530.79,-571.25,-613.97,-659.02,-706.47,-756.41,-808.89,-864,-921.81,-982.4,-1045.8,-1112.2,-1181.5,-1253.9,-1329.5,-1408.2,-1490.3,-1575.7,-1664.5,-1756.8,-1852.7,-1952.3,-2055.5,-2162.6,-2273.5,-2388.3,-2507.2,-2630.1,-2757.1,-2888.3,-3023.8,-3163.7,-3307.9,-3456.6,-3609.9,-3767.7,-3930.2,-4097.4,-4269.5,-4446.3,-4628.1,-4814.9,-5006.7,-5203.6,-5405.6,-5612.9,-5825.4,-6043.3,-6266.5,-6495.1,-6729.3,-6969,-7214.3,-7465.2,-7721.8,-7984.2,-8252.4,-8526.4,-8806.3,-9092.1,-9384,-9681.8,-9985.7
8.18e-07,6.47e-07,-10544,-9864.7,-9225.7,-8624.4,-8058.7,-7526.7,-7026.5,-6556.4,-6114.7,-5699.7,-5310.1,-4944.4,-4601.3,-4279.4,-3977.6,-3694.7,-3429.6,-3181.4,-2949,-2731.5,-2528.1,-2337.9,-2160.1,-1994.1,-1839,-1694.3,-1559.3,-1433.4,-1316.1,-1206.8,-1105.1,-1010.5,-922.52,-840.76,-764.83,-694.37,-629.04,-568.5,-512.46,-460.63,-412.75,-368.55,-327.82,-290.34,-255.89,-224.31,-195.4,-169.02,-145.01,-123.24,-103.58,-85.916,-70.145,-56.173,-43.913,-33.289,-24.235,-16.688,-10.598,-5.9192,-2.6131,-0.64846,-0,-0.64846,-2.5803,-5.7872,-10.266,-16.02,-23.053,-31.379,-41.011,-51.969,-64.276,-77.959,-93.047,-109.57,-127.58,-147.09,-168.16,-190.84,-215.16,-241.18,-268.95,-298.52,-329.95,-363.3,-398.62,-435.97,-475.43,-517.05,-560.9,-607.04,-655.54,-706.47,-759.91,-815.91,-874.56,-935.92,-1000.1,-1067.1,-1137,-1210,-1286,-1365.2,-1447.7,-1533.5,-1622.6,-1715.2,-1811.4,-1911.2,-2014.7,-2121.9,-2233.1,-2348.1,-2467.2,-2590.3,-2717.6,-2849.2,-2985,-3125.3,-3270,-3419.3,-3573.2,-3731.8,-3895.1,-4063.4,-4236.5,-4414.6,-4597.8,-4786.1,-4979.6,-5178.4,-5382.5,-5592.1,-5807.2,-6027.8,-6254,-6485.9,-6723.6,-6967.1,-7216.5,-7471.9,-7733.2,-8000.7,-8274.2,-8554,-8840,-9132.4,-9431.1,-9736.2,-10048,-10366,-10691,-11022,-11360,-11705,-12057,-12415,-12781,-13153,-13532,-13918,-14312,-14712,-15120,-15535,-15957,-16386,-16822,-17266,-17717
9.3e-07,6.85e-07,-11068,-10312,-9600.8,-8932,-8303.6,-7713.3,-7159.1,-6639.1,-6151.4,-5694.4,-5266.2,-4865.4,-4490.5,-4140,-3812.5,-3506.9,-3221.7,-2956,-2708.6,-2478.4,-2264.4,-2065.8,-1881.5,-1710.8,-1552.8,-1406.7,-1271.9,-1147.7,-1033.3,-928.13,-831.64,-743.25,-662.42,-588.64,-521.45,-460.38,-405.01,-354.92,-309.75,-269.12,-232.68,-200.12,-171.13,-145.43,-122.73,-102.78,-85.342,-70.19,-57.109,-45.9,-36.374,-28.357,-21.684,-16.202,-11.768,-8.2507,-5.5253,-3.4782,-2.0035,-1.0041,-0.39044,-0.080646,-0,-0.080646,-0.26129,-0.48688,-0.70835,-0.88233,-0.9709,-0.94131,-0.76579,-0.42129,0.11074,0.84454,1.7902,2.954,4.3385,5.9424,7.7615,9.7879,12.011,14.417,16.989,19.709,22.555,25.502,28.524,31.592,34.677,37.746,40.763,43.693,46.498,49.139,51.574,53.762,55.658,57.217,58.394,59.14,59.408,59.148,58.31,56.842,54.693,51.81,48.138,43.624,38.214,31.85,24.478,16.041,6.4824,-4.2558,-16.231,-29.502,-44.126,-60.162,-77.67,-96.708,-117.34,-139.61,-163.6,-189.35,-216.94,-246.41,-277.83,-311.25,-346.75,-384.37,-424.18,-466.24,-510.6,-557.33,-606.49,-658.13,-712.31,-769.09,-828.54,-890.71,-955.65,-1023.4,-1094.1,-1167.7,-1244.3,-1324,-1406.9,-1492.8,-1582.1,-1674.6,-1770.4,-1869.7,-1972.4,-2078.6,-2188.3,-2301.7,-2418.7,-2539.5,-2664,-2792.3,-2924.5,-3060.7,-3200.8,-3344.9,-3493,-3645.3,-3801.8,-3962.4,-4127.3,-4296.5,-4470.1
8.24e-07,6.89e-07,-8442.9,-7828.9,-7253.9,-6715.7,-6212.2,-5741.5,-5301.6,-4890.8,-4507.5,-4150.1,-3817,-3506.8,-3218.2,-2949.9,-2700.6,-2469.3,-2254.9,-2056.2,-1872.4,-1702.5,-1545.6,-1400.9,-1267.6,-1144.9,-1032.2,-928.86,-834.15,-747.52,-668.4,-596.26,-530.6,-470.96,-416.89,-367.97,-323.81,-284.03,-248.29,-216.27,-187.65,-162.14,-139.49,-119.43,-101.73,-86.17,-72.551,-60.68,-50.382,-41.492,-33.861,-27.351,-21.833,-17.191,-13.319,-10.12,-7.5074,-5.4029,-3.7366,-2.4467,-1.4791,-0.78712,-0.33098,-0.077547,-0,-0.077547,-0.29512,-0.6431,-1.1171,-1.7175,-2.4497,-3.3232,-4.3519,-5.5539,-6.9509,-8.5683,-10.435,-12.583,-15.048,-17.868,-21.083,-24.739,-28.88,-33.555,-38.816,-44.715,-51.306,-58.648,-66.798,-75.816,-85.765,-96.708,-108.71,-121.84,-136.15,-151.73,-168.64,-186.95,-206.73,-228.05,-250.99,-275.62,-302.02,-330.25,-360.4,-392.54,-426.75,-463.1,-501.68,-542.55,-585.8,-631.51,-679.74,-730.59,-784.13,-840.43,-899.58,-961.66,-1026.7,-1094.9,-1166.2,-1240.8,-1318.6,-1399.9,-1484.6,-1572.9,-1664.8,-1760.4,-1859.8,-1963,-2070.2,-2181.3,-2296.6,-2415.9,-2539.5,-2667.4,-2799.7,-2936.4,-3077.7,-3223.5,-3374,-3529.2,-3689.1,-3854,-4023.8,-4198.6,-4378.4,-4563.4,-4753.5,-4949,-5149.7,-5355.8,-5567.4,-5784.5,-6007.2,-6235.4,-6469.4,-6709.1,-6954.6,-7206,-7463.3,-7726.5,-7995.7,-8271.1,-8552.5,-8840.1,-9133.9,-9434,-9740.4,-10053,-10372,-10698,-11030
9.06e-07,6.65e-07,-11223,-10474,-9770.1,-9107.4,-8484.2,-7898.3,-7347.8,-6830.7,-6345.2,-5889.6,-5462.4,-5061.8,-4686.6,-4335.3,-4006.5,-3699.1,-3411.7,-3143.4,-2892.9,-2659.4,-2441.7,-2239.1,-2050.5,-1875.3,-1712.6,-1561.6,-1421.7,-1292.1,-1172.3,-1061.7,-959.59,-865.51,-778.95,-699.41,-626.43,-559.58,-498.44,-442.64,-391.79,-345.56,-303.62,-265.65,-231.37,-200.51,-172.8,-148,-125.89,-106.26,-88.896,-73.623,-60.261,-48.65,-38.636,-30.079,-22.847,-16.819,-11.884,-7.938,-4.8861,-2.6418,-1.126,-0.26699,-0,-0.26699,-1.0163,-2.2022,-3.7851,-5.7304,-8.0094,-10.598,-13.477,-16.631,-20.051,-23.731,-27.667,-31.863,-36.322,-41.055,-46.072,-51.388,-57.022,-62.994,-69.328,-76.05,-83.188,-90.773,-98.837,-107.42,-116.55,-126.27,-136.62,-147.64,-159.38,-171.88,-185.19,-199.36,-214.43,-230.46,-247.49,-265.59,-284.79,-305.17,-326.77,-349.64,-373.86,-399.46,-426.52,-455.09,-485.22,-516.99,-550.45,-585.65,-622.67,-661.55,-702.38,-745.19,-790.07,-837.06,-886.24,-937.66,-991.39,-1047.5,-1106,-1167.1,-1230.6,-1296.9,-1365.8,-1437.4,-1511.8,-1589.2,-1669.4,-1752.7,-1839,-1928.4,-2021,-2116.9,-2216,-2318.5,-2424.5,-2533.9,-2646.9,-2763.4,-2883.7,-3007.6,-3135.4,-3266.9,-3402.4,-3541.8,-3685.2,-3832.6,-3984.2,-4140,-4300,-4464.2,-4632.8,-4805.8,-4983.2,-5165.1,-5351.5,-5542.5,-5738.2,-5938.6,-6143.6,-6353.5,-6568.2,-6787.8,-7012.3,-7241.7,-7476.2,-7715.7,-7960.3
8.28e-07,6.29e-07,-11786,-11061,-10376,-9730.7,-9121.9,-8547.9,-8006.8,-7496.8,-7016.3,-6563.6,-6137.2,-5735.8,-5357.9,-5002.2,-4667.6,-4352.8,-4056.8,-3778.5,-3517,-3271.2,-3040.4,-2823.6,-2620.1,-2429.2,-2250.1,-2082.1,-1924.6,-1777.1,-1638.8,-1509.4,-1388.3,-1275,-1169,-1070,-977.56,-891.26,-810.76,-735.74,-665.88,-600.89,-540.49,-484.42,-432.44,-384.33,-339.88,-298.89,-261.17,-226.57,-194.92,-166.09,-139.93,-116.33,-95.168,-76.353,-59.789,-45.392,-33.087,-22.809,-14.498,-8.103,-3.579,-0.88842,-0,-0.88842,-3.5342,-7.9233,-14.047,-21.901,-31.488,-42.811,-55.881,-70.713,-87.322,-105.73,-125.97,-148.05,-172.03,-197.92,-225.76,-255.61,-287.49,-321.45,-357.54,-395.81,-436.32,-479.1,-524.22,-571.74,-621.71,-674.2,-729.25,-786.95,-847.34,-910.49,-976.48,-1045.4,-1117.2,-1192.1,-1270.1,-1351.2,-1435.6,-1523.3,-1614.4,-1708.9,-1807,-1908.7,-2014.1,-2123.2,-2236.1,-2352.9,-2473.7,-2598.5,-2727.4,-2860.6,-2998,-3139.7,-3285.9,-3436.5,-3591.7,-3751.5,-3916,-4085.3,-4259.5,-4438.5,-4622.6,-4811.7,-5006,-5205.4,-5410.1,-5620.2,-5835.7,-6056.6,-6283.1,-6515.2,-6753,-6996.5,-7245.8,-7501,-7762.1,-8029.2,-8302.3,-8581.6,-8867,-9158.7,-9456.6,-9761,-10072,-10389,-10712,-11043,-11380,-11723,-12073,-12430,-12794,-13165,-13542,-13927,-14318,-14717,-15122,-15535,-15955,-16382,-16816,-17258,-17707,-18163,-18626,-19097,-19575
